Etunimi;Lukumäärä
Pavel;486
Torbjörn;482
Yusuf;482
Abdullah;481
Karim;481
Antti-Jussi;476
Reinhold;476
Ronny;476
Aake;475
Salomo;475
Roman;474
Wille;470
Kari-Pekka;466
Ingemar;464
Valde;462
Jack;461
Denis;460
Eeti;458
George;457
Svante;452
Samppa;450
Ian;447
Akusti;446
Josef;440
Nino;440
Lionel;439
Elo;438
Klas;435
Antti-Pekka;434
Jonny;429
Karl-Erik;429
Mikke;429
Mahamed;428
Turkka;427
Knut;426
Asmo;424
Jason;424
Hasan;423
Ismail;423
Matthew;423
Augusti;422
Matteus;421
Raineri;421
Pietu;420
Miio;416
Mertsi;414
Herkko;413
Toimi;412
Maunu;410
Timonpoika;407
Carlos;406
Milton;405
Emmanuel;404
Maximus;404
Said;404
Kusti;401
Ola;401
Karl-Johan;400
Kristofer;400
Villiam;400
Hilding;399
Mårten;399
Orvo;397
Jukanpoika;394
Sune;393
Werneri;393
Wäinö;393
Aatami;392
Maksim;392
Hemminki;390
Melvin;390
Torolf;390
Sixten;389
Caspian;388
Aappo;387
Torvald;387
Amin;384
Emilio;383
Aadolf;381
Van;379
Alexis;377
Erkko;376
Hemming;375
Aate;374
Soini;373
Heikinpoika;371
Sigurd;371
Folke;368
Jalmar;368
Pekanpoika;367
Karo;366
Mitja;364
Rickard;364
Totti;361
Myrsky;359
Ville-Petteri;359
Hemmi;358
Abraham;357
Pirkka;357
Matteo;356
Mikhail;356
Vidar;355
Elvis;354
Jarinpoika;354
Samir;351
Pete;350
Petro;350
Per-Erik;349
René;349
Amadeus;348
Kuutti;348
Nikodemus;348
Alexandre;347
Bernt;347
Osman;347
Thor;347
Benny;346
Konrad;344
Berndt;343
Urmas;342
Alexi;340
Sture;340
Lars-Erik;338
Wilmer;337
Alan;336
Minh;334
Carl-Johan;333
Khalid;332
Ted;332
Oleg;331
Ilo;330
Kaino;329
Kennet;329
Ingvar;328
Olle;328
Viggo;328
Alec;327
Masi;323
Isac;321
Abel;320
Adiel;320
Jaani;320
Jake;320
Hamza;318
Mihail;318
Edgar;316
Eddie;315
Staffan;315
Tristan;315
Ernesti;314
Leino;314
Jetro;313
Eskil;310
Selim;309
Jasse;308
Maurits;308
Esa-Pekka;306
Kirill;305
Uula;303
Ville-Matti;303
Leopold;302
Mohamud;302
Nemo;302
Nikke;302
Tore;302
Junior;301
Sören;301
Jari-Matti;299
Valio;299
Morris;297
Hannunpoika;295
Renne;295
Hannu-Pekka;294
Mario;293
Karinpoika;292
Huugo;291
Luis;289
Louis;288
Raymond;288
Anas;287
Ari-Matti;287
Immo;287
Jermu;287
Pessi;287
Ernest;286
Aati;285
Abdul;285
Juho-Pekka;285
Uno;285
Aarto;284
Miiko;284
Raul;284
Rony;284
Peik;283
Jasperi;282
Sigfrid;282
Abdulkadir;281
Lee;281
Aleks;280
Andre;280
Ronnie;280
Sergey;280
Mohamad;279
Kristo;278
Kerkko;277
Elja;275
Andrey;274
Conny;274
Terno;274
Abbas;273
Liinus;273
Sammeli;273
Jussinpoika;272
Rurik;272
Dmitri;270
Mateo;270
Roberto;270
Kare;269
Miguel;269
Nathan;269
Ryan;269
Arttur;268
Daniil;268
Frej;268
Jone;268
Joe;267
Dick;266
Ingvald;265
Luke;264
Elvin;263
Mike;263
Atlas;262
Rico;262
Elof;260
Marc;260
Milan;260
Manne;259
Mehmet;259
Patric;258
Eikka;257
Timo-Pekka;257
Alpi;256
Glenn;256
Eliot;254
Ami;253
Atro;252
Finn;252
Artem;251
Ariel;249
Francis;249
Jeremy;249
Michel;249
Mikanpoika;249
Gerhard;247
Miklas;247
Niilas;247
Aale;246
Jali;246
Titus;246
Alvi;245
Jaska;245
Muhammed;244
Ville-Valtteri;244
Mahdi;243
Mahmoud;242
Matthias;242
Singh;242
Aaretti;241
Caj;241
Remi;241
Remu;241
Colin;238
Elton;238
Valeri;238
Fjalar;237
Markunpoika;236
Rufus;235
Charlie;234
Fred;234
Eduard;231
Rickhard;231
Alberto;229
Emir;229
Greger;229
Jannenpoika;229
Ricardo;229
Ahto;228
Alexei;228
Johann;228
Thanh;228
Raafael;227
Tuisku;227
Feliks;226
Ken;226
Ronald;226
Alexey;225
Kauri;225
Hiski;223
Juan;222
Saul;222
Valtti;222
Olli-Matti;221
Adnan;220
Jaakonpoika;220
Yasin;219
Evan;218
Villehard;218
Ron;217
Verne;215
Isaac;214
Jamal;214
Jarko;214
Timothy;212
Arinpoika;211
Dmitry;211
Jusa;211
Kosmo;211
Aslan;210
Ludwig;210
Ture;210
Karl-Gustav;209
Lenny;209
Valentino;209
Elijah;208
Tyko;208
Zakaria;208
Lemmy;206
Algot;205
Reza;205
Sigvard;204
Ethan;203
Jamiel;202
Oliwer;202
Andres;201
Bilal;201
Henning;201
Villenpoika;201
Gideon;200
Jaajo;200
Jan-Peter;200
Simo-Pekka;199
Asla;198
Steven;198
Sven-Erik;198
Jan-Mikael;197
Havu;196
Rayan;196
Jani-Petteri;195
Waltter;195
Petrinpoika;194
Saska;194
Brian;193
Micke;192
Sean;191
Stephen;191
Carlo;189
Valle;189
Damien;188
Dante;188
Alessandro;187
Juuse;187
Karlo;187
Jeremi;186
Jero;186
Vinski;186
Alejandro;184
Emre;184
Josua;184
Kaspar;184
Vadim;184
Ilyas;183
Kari-Matti;182
Miiro;182
Sakke;182
Vladislav;182
Harrinpoika;181
Malik;180
Anh;179
Jyry;179
Clas;178
Jaakob;178
Jaakoppi;178
Jaan;178
Nathaniel;178
Antoni;177
Deniz;177
Eeka;177
Ollinpoika;177
Sami-Pekka;177
José;176
Sami-Petteri;176
Arman;175
Dominik;175
Dylan;175
Mitro;175
Robertino;175
Chris;174
Jan-Olof;174
Timoteus;174
Anttu;173
Damian;173
Efraim;173
Auno;172
Filemon;172
Jiro;172
Ray;172
Wilho;172
Yahya;172
Gottfrid;169
Jaako;169
Taha;169
Vikke;169
Andrea;168
Simeoni;168
Franz;167
Khaled;167
Hampus;166
Jaakkima;166
Juho-Matti;166
Malakias;166
Rikard;166
Angelo;164
Matheo;164
Musa;164
Markonpoika;163
Morgan;163
Bo-Erik;162
Hamid;162
Hermann;162
Mikail;162
Rauni;162
Risto-Matti;162
Claes;161
Jirka;161
Marcel;161
Severin;161
Francisco;160
Emerik;159
Juhan;159
Kian;159
Niko-Petteri;159
Pedro;159
Jerker;158
Moritz;158
Jousia;157
Per-Olof;157
Jani-Pekka;156
Runo;156
Saminpoika;156
Theodore;156
Hoang;155
Jeri;155
Kuura;155
Nelson;155
Rabbe;155
Ismael;154
Miku;154
Christofer;153
