Sukunimi;Yhteensä
Pyykkö;1617
Vanhala;1617
Kivioja;1613
Palonen;1613
Itkonen;1610
Santala;1609
Selin;1609
Tammi;1607
Söderlund;1603
Tuomaala;1597
Harjula;1593
Romppanen;1589
Lukkarinen;1588
Grönlund;1582
Halttunen;1578
Ahmed;1576
Nikkanen;1576
Määttänen;1571
Pyykkönen;1568
Sundqvist;1567
Tossavainen;1565
Lindeman;1563
Mäkilä;1560
Piispanen;1559
Setälä;1559
Kalliomäki;1558
Pekkanen;1558
Välimaa;1558
Tiilikainen;1555
Tukiainen;1553
Kananen;1550
Tyni;1549
Koivumäki;1547
Myllylä;1546
Tuomela;1544
Ryhänen;1534
Sivula;1533
Hakola;1517
Kuitunen;1514
Valtanen;1514
Lintunen;1511
Hellsten;1499
Ahtiainen;1491
Pietiläinen;1486
Päivärinta;1485
Ketonen;1484
Hovi;1482
Hellman;1481
Kangasniemi;1481
Happonen;1480
Siekkinen;1478
Tuhkanen;1474
Kataja;1472
Siltanen;1469
Rämö;1465
Hakulinen;1464
Poutanen;1457
Vesala;1456
Pettersson;1455
Piipponen;1448
Peltomäki;1443
Nyyssönen;1439
Talvitie;1438
Lindén;1437
Montonen;1437
Toikka;1437
Salin;1432
Vänskä;1430
Pellinen;1428
Piippo;1428
Honkonen;1426
Kuusinen;1426
Stenberg;1422
Kuivalainen;1420
Sjöberg;1420
Wallenius;1420
Haapalainen;1416
Parkkonen;1415
Räihä;1413
Sandström;1412
Valli;1412
Mäntynen;1409
Kuikka;1408
Palosaari;1407
Torvinen;1404
Mykkänen;1402
Turtiainen;1400
Kuittinen;1393
Vaittinen;1390
Jaakola;1388
Kärnä;1387
Kuparinen;1380
Syrjänen;1378
Jalkanen;1377
Herranen;1374
Sippola;1374
Suni;1369
Nikkilä;1368
Rahkonen;1364
Jäppinen;1360
Nikkinen;1360
Grönholm;1359
Iivonen;1358
Soikkeli;1358
Hallikainen;1354
Orava;1353
Utriainen;1353
Lamberg;1351
Savela;1350
Pellikka;1348
Männikkö;1344
Reijonen;1343
Kakko;1341
Pursiainen;1340
Annala;1337
Lönnqvist;1337
Vuorenmaa;1336
Ervasti;1335
Nordlund;1334
Hynynen;1333
Raunio;1332
Niskala;1331
Ojanperä;1328
Tuomola;1328
Manner;1327
Leivo;1326
Öhman;1320
Katajamäki;1318
Puumalainen;1318
Saikkonen;1318
Viljakainen;1318
Lappi;1316
Vatanen;1315
Mähönen;1314
Pulli;1314
Isotalo;1313
Sairanen;1312
Nissilä;1311
Kaunisto;1309
Salovaara;1309
Sundberg;1307
Peltomaa;1306
Wallin;1306
Kukkola;1304
Putkonen;1303
Vehviläinen;1303
Naukkarinen;1297
Pohjonen;1296
Juutilainen;1295
Kaukonen;1294
Sipola;1290
Nordman;1287
Hukkanen;1286
Kankkunen;1285
Numminen;1284
Oja;1284
Kekäläinen;1282
Huhta;1279
Olkkonen;1278
Heimonen;1272
Jämsä;1271
Vauhkonen;1270
Väätäinen;1270
Pynnönen;1269
Suokas;1267
Kurvinen;1265
Tynkkynen;1265
Virkkunen;1265
Holma;1264
Kervinen;1264
Lähde;1264
Pihlajamäki;1264
Haikonen;1263
Vikman;1262
Mutanen;1258
Pihlaja;1256
Siltala;1256
Vanhatalo;1253
Malmberg;1249
Mäkeläinen;1248
Reponen;1247
Kohonen;1246
Hurskainen;1245
Blom;1244
Kumpula;1244
Säkkinen;1243
Palmu;1241
Haapakoski;1240
Ovaska;1239
Hintikka;1238
Murto;1238
Haanpää;1237
Lindell;1235
Pylkkänen;1234
Kaipainen;1229
Mannila;1229
Lintula;1227
Elomaa;1226
Roos;1225
Kiviranta;1224
Kuoppala;1220
Huhtanen;1219
Päivinen;1216
Kilpinen;1215
Kovalainen;1215
Poutiainen;1213
Söderholm;1212
Vainikka;1212
Ek;1211
Klemetti;1210
Ovaskainen;1208
Kupiainen;1207
Jokelainen;1206
Kivi;1205
Vainikainen;1203
Perttula;1201
Ratilainen;1201
Rouhiainen;1201
Himanen;1200
Pietarinen;1199
Mielonen;1198
Raitanen;1198
Suuronen;1196
Viinikainen;1188
Tarkiainen;1179
Rekola;1176
Liikanen;1173
Sarkkinen;1169
Bergström;1166
Leskelä;1166
Lundberg;1165
Saarenpää;1162
Tölli;1160
