Etunimi;Lukumäärä
Jeanette;713
Maj-Lis;709
Catharina;708
My;708
Siri;706
Suoma;706
Eve;705
Emmiina;698
Estelle;696
Linn;694
Ilmi;692
Lemmikki;692
Antonia;691
Christa;691
Christel;691
Hanna-Maria;685
Tara;682
Tamara;681
Noomi;680
Evelin;679
Synnöve;678
Angelina;677
Rebecka;676
Ottilia;671
Britta;668
Fiia;665
Rosita;663
Usva;663
Sinna;661
Therese;654
Marian;653
Marju;652
Viveka;650
Eeva-Maria;649
Soilikki;648
Siina;646
Larissa;643
Ria;639
Silva;635
Ann-Marie;632
Dagmar;630
Evelia;630
Cristina;628
Jelena;626
Anna-Sofia;625
Ramona;622
Louna;621
Sarianna;618
Terese;618
Serafina;615
Amina;612
Eivor;611
Jenniina;608
Galina;606
Sade;606
Valeria;605
Catarina;603
Pirjo-Riitta;602
Clara;601
Yasmin;601
Evelyn;600
Jannika;600
Lidia;599
Mariana;596
Fatima;595
Anne-Maj;591
Anne-Maarit;580
Karina;580
Mariam;578
Ruusu;577
Iida-Maria;576
Ilta;570
Angela;569
Saini;568
Eriika;565
Hulda;560
Susann;560
Lenita;556
Liinu;556
Marit;555
Magdaleena;554
Jadessa;550
Naomi;547
Henna-Riikka;545
Viveca;545
Augusta;543
Briitta;540
Kristine;532
Ritva-Liisa;532
Annemari;528
Aisha;527
Sirja;527
May;526
Impi;522
Ulpu;521
Marikki;514
Pirjo-Liisa;513
Sienna;511
Ulriikka;511
Ellinor;509
Maja;508
Margaret;507
Pernilla;505
Eija-Liisa;503
Karla;502
Sani;501
Marissa;500
Pamela;499
Tua;497
Bianca;496
Carmen;496
Rianna;496
Alise;494
Ann-Christine;489
Svea;489
Soila;486
Lumina;482
Meiju;482
Nana;482
Cassandra;481
Sanna-Kaisa;479
Gabriela;478
Ireene;476
Lia;472
Teea;471
Mandi;470
Aleksiina;468
Eeva-Maija;467
Margarita;467
Samira;467
Sanna-Maria;466
Abdi;464
Assi;464
Kaino;463
Moa;462
Inga-Lill;461
Kreetta;461
Esther;460
Freja;459
Mari-Anne;457
Odessa;456
Hannah;455
Roosa-Maria;455
Hanneli;453
Lisbet;453
Amira;450
Grace;448
Maryam;446
Annica;445
Hellä;445
Alexsandra;442
Angelika;442
Hannamari;441
Catherine;440
Vivi;440
Kamilla;439
Annie;438
Zahra;438
Alexia;436
Petriina;436
Daria;435
Iitu;435
Mariaana;435
Ruusa;435
Aallotar;432
Alessia;432
Liana;432
Filippa;430
Märta;427
Hassan;423
Margita;421
Mariela;421
Liia;420
Sabrina;420
Tuulevi;417
Ann-Christin;416
Eleanor;415
Katrin;412
Leeni;411
Klaudia;410
Marjanne;407
Lumikki;405
Marica;405
Riika;404
Theresa;404
Nenna;402
Melisa;400
Meri-Tuuli;400
Josephine;399
Katharina;398
